tid,phylum.R,class.R,order.R,family.R,genus.R,species.R,keeling.R
242541,no rank,no rank,Longamoebia,no rank,Mayorella,no rank,Amoeboa
340204,Apicomplexa,Gregarinasina,Eugregarinorida,Lecudinidae,Lankesteria,no rank,Apicomplexa
414004,Thaumarchaeota,no rank,Cenarchaeales,Cenarchaeaceae,Cenarchaeum,Cenarchaeum symbiosum,Archaea
436308,Thaumarchaeota,no rank,Nitrosopumilales,Nitrosopumilaceae,Nitrosopumilus,Nitrosopumilus maritimus,Archaea
859350,Thaumarchaeota,no rank,Nitrosopumilales,Nitrosopumilaceae,Nitrosopumilus,Candidatus Nitrosopumilus salaria,Archaea
1001994,Thaumarchaeota,no rank,Nitrosopumilales,Nitrosopumilaceae,Candidatus Nitrosoarchaeum,Candidatus Nitrosoarchaeum koreensis,Archaea
1027373,Thaumarchaeota,no rank,Nitrosopumilales,Nitrosopumilaceae,Nitrosopumilus,no rank,Archaea
1027374,Thaumarchaeota,no rank,Nitrosopumilales,Nitrosopumilaceae,Nitrosopumilus,no rank,Archaea
1229908,Thaumarchaeota,no rank,Nitrosopumilales,Nitrosopumilaceae,Nitrosopumilus,Candidatus Nitrosopumilus koreensis,Archaea
284592,Ascomycota,Saccharomycetes,Saccharomycetales,Debaryomycetaceae,Debaryomyces,Debaryomyces hansenii,Ascomycetes
1140,Cyanobacteria,no rank,Chroococcales,no rank,Synechococcus,Synechococcus elongatus,Bacteria
32051,Cyanobacteria,no rank,Chroococcales,no rank,Synechococcus,no rank,Bacteria
50743,Bacteroidetes,no rank,no rank,no rank,no rank,no rank,Bacteria
52598,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Sulfitobacter,no rank,Bacteria
58051,Proteobacteria,Gammaproteobacteria,Alteromonadales,Moritellaceae,Moritella,no rank,Bacteria
59919,Cyanobacteria,no rank,Prochlorales,Prochlorococcaceae,Prochlorococcus,Prochlorococcus marinus,Bacteria
59920,Cyanobacteria,no rank,Prochlorales,Prochlorococcaceae,Prochlorococcus,Prochlorococcus marinus,Bacteria
59922,Cyanobacteria,no rank,Prochlorales,Prochlorococcaceae,Prochlorococcus,Prochlorococcus marinus,Bacteria
64471,Cyanobacteria,no rank,Chroococcales,no rank,Synechococcus,no rank,Bacteria
74546,Cyanobacteria,no rank,Prochlorales,Prochlorococcaceae,Prochlorococcus,Prochlorococcus marinus,Bacteria
74547,Cyanobacteria,no rank,Prochlorales,Prochlorococcaceae,Prochlorococcus,Prochlorococcus marinus,Bacteria
84588,Cyanobacteria,no rank,Chroococcales,no rank,Synechococcus,no rank,Bacteria
89187,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Roseovarius,Roseovarius nubinhibens,Bacteria
93058,Cyanobacteria,no rank,Prochlorales,Prochlorococcaceae,Prochlorococcus,Prochlorococcus marinus,Bacteria
110662,Cyanobacteria,no rank,Chroococcales,no rank,Synechococcus,no rank,Bacteria
146891,Cyanobacteria,no rank,Prochlorales,Prochlorococcaceae,Prochlorococcus,Prochlorococcus marinus,Bacteria
156586,Bacteroidetes,Flavobacteriia,no rank,no rank,no rank,no rank,Bacteria
167539,Cyanobacteria,no rank,Prochlorales,Prochlorococcaceae,Prochlorococcus,Prochlorococcus marinus,Bacteria
167542,Cyanobacteria,no rank,Prochlorales,Prochlorococcaceae,Prochlorococcus,Prochlorococcus marinus,Bacteria
167546,Cyanobacteria,no rank,Prochlorales,Prochlorococcaceae,Prochlorococcus,Prochlorococcus marinus,Bacteria
167555,Cyanobacteria,no rank,Prochlorales,Prochlorococcaceae,Prochlorococcus,Prochlorococcus marinus,Bacteria
198252,Proteobacteria,Alphaproteobacteria,Pelagibacterales,Pelagibacteraceae,Candidatus Pelagibacter,no rank,Bacteria
203122,Proteobacteria,Gammaproteobacteria,Cellvibrionales,Cellvibrionaceae,Saccharophagus,Saccharophagus degradans,Bacteria
207954,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Oceanospirillaceae,Neptuniibacter,no rank,Bacteria
216432,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Croceibacter,Croceibacter atlanticus,Bacteria
228405,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Hyphomonadaceae,Hyphomonas,Hyphomonas neptunium,Bacteria
243090,Planctomycetes,Planctomycetia,Planctomycetales,Planctomycetaceae,Rhodopirellula,Rhodopirellula baltica,Bacteria
246200,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Ruegeria,Ruegeria pomeroyi,Bacteria
247633,Proteobacteria,Gammaproteobacteria,Cellvibrionales,Spongiibacteraceae,no rank,no rank,Bacteria
247634,Proteobacteria,Gammaproteobacteria,Cellvibrionales,Halieaceae,no rank,no rank,Bacteria
247639,Proteobacteria,Gammaproteobacteria,Cellvibrionales,Halieaceae,no rank,no rank,Bacteria
252305,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Oceanicola,Oceanicola batsensis,Bacteria
269084,Cyanobacteria,no rank,Chroococcales,no rank,Synechococcus,Synechococcus elongatus,Bacteria
290400,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Jannaschia,no rank,Bacteria
292414,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Ruegeria,no rank,Bacteria
296591,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Polaromonas,no rank,Bacteria
298386,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Photobacterium,Photobacterium profundum,Bacteria
312284,Actinobacteria,Actinobacteria,no rank,no rank,no rank,no rank,Bacteria
313589,Actinobacteria,Actinobacteria,Micrococcales,Intrasporangiaceae,Janibacter,no rank,Bacteria
313590,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Dokdonia,no rank,Bacteria
313594,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Polaribacter,Polaribacter irgensii,Bacteria
313596,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Robiginitalea,Robiginitalea biformata,Bacteria
313598,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Polaribacter,no rank,Bacteria
313603,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Maribacter,no rank,Bacteria
313606,Bacteroidetes,Cytophagia,Cytophagales,Cytophagaceae,Microscilla,Microscilla marina,Bacteria
313628,Lentisphaerae,Lentisphaeria,Lentisphaerales,Lentisphaeraceae,Lentisphaera,Lentisphaera araneosa,Bacteria
314225,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Erythrobacteraceae,Erythrobacter,Erythrobacter litoralis,Bacteria
314231,Proteobacteria,Alphaproteobacteria,Rhizobiales,Aurantimonadaceae,Fulvimarina,Fulvimarina pelagi,Bacteria
314232,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Loktanella,Loktanella vestfoldensis,Bacteria
314256,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Oceanicola,Oceanicola granulosus,Bacteria
314261,Proteobacteria,Alphaproteobacteria,Pelagibacterales,Pelagibacteraceae,Candidatus Pelagibacter,Candidatus Pelagibacter ubique,Bacteria
314262,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Roseobacter,no rank,Bacteria
314264,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Roseovarius,no rank,Bacteria
314265,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Pelagibaca,Pelagibaca bermudensis,Bacteria
314266,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonas,no rank,Bacteria
314267,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Sulfitobacter,no rank,Bacteria
314270,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,no rank,no rank,Bacteria
314271,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Maritimibacter,Maritimibacter alkaliphilus,Bacteria
314277,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Oceanospirillaceae,Marinomonas,no rank,Bacteria
314282,Proteobacteria,Gammaproteobacteria,Alteromonadales,Psychromonadaceae,Psychromonas,no rank,Bacteria
314283,Proteobacteria,Gammaproteobacteria,no rank,no rank,Reinekea,Reinekea blandensis,Bacteria
314287,Proteobacteria,Gammaproteobacteria,Cellvibrionales,Porticoccaceae,no rank,no rank,Bacteria
314292,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Photobacterium,Photobacterium angustum,Bacteria
314608,Proteobacteria,Gammaproteobacteria,Alteromonadales,Shewanellaceae,Shewanella,Shewanella benthica,Bacteria
316278,Cyanobacteria,no rank,Chroococcales,no rank,Synechococcus,no rank,Bacteria
316279,Cyanobacteria,no rank,Chroococcales,no rank,Synechococcus,no rank,Bacteria
317655,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingopyxis,Sphingopyxis alaskensis,Bacteria
318161,Proteobacteria,Gammaproteobacteria,Alteromonadales,Shewanellaceae,Shewanella,Shewanella denitrificans,Bacteria
318167,Proteobacteria,Gammaproteobacteria,Alteromonadales,Shewanellaceae,Shewanella,Shewanella frigidimarina,Bacteria
323261,Proteobacteria,Gammaproteobacteria,Chromatiales,Chromatiaceae,Nitrosococcus,Nitrosococcus oceani,Bacteria
325240,Proteobacteria,Gammaproteobacteria,Alteromonadales,Shewanellaceae,Shewanella,Shewanella baltica,Bacteria
326442,Proteobacteria,Gammaproteobacteria,Alteromonadales,Pseudoalteromonadaceae,Pseudoalteromonas,Pseudoalteromonas haloplanktis,Bacteria
331869,Proteobacteria,Alphaproteobacteria,no rank,no rank,no rank,no rank,Bacteria
335992,Proteobacteria,Alphaproteobacteria,Pelagibacterales,Pelagibacteraceae,Candidatus Pelagibacter,Candidatus Pelagibacter ubique,Bacteria
338187,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,Vibrio campbellii,Bacteria
344747,Planctomycetes,Planctomycetia,Planctomycetales,Planctomycetaceae,Gimesia,Gimesia maris,Bacteria
357804,Proteobacteria,Gammaproteobacteria,Alteromonadales,Psychromonadaceae,Psychromonas,Psychromonas ingrahamii,Bacteria
367336,Proteobacteria,Alphaproteobacteria,Rhodobacterales,no rank,no rank,no rank,Bacteria
375451,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Roseobacter,Roseobacter denitrificans,Bacteria
376686,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Flavobacterium,Flavobacterium johnsoniae,Bacteria
383629,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Phaeobacter,Phaeobacter gallaeciensis,Bacteria
383631,Proteobacteria,Betaproteobacteria,Methylophilales,no rank,no rank,no rank,Bacteria
388399,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Sagittula,Sagittula stellata,Bacteria
388401,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,no rank,no rank,Bacteria
388739,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Roseobacter,no rank,Bacteria
391587,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Kordia,Kordia algicida,Bacteria
391589,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Roseobacter,no rank,Bacteria
391593,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Roseobacter,no rank,Bacteria
391596,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Sphingobacteriaceae,Pedobacter,no rank,Bacteria
391598,Bacteroidetes,Flavobacteriia,Flavobacteriales,no rank,no rank,no rank,Bacteria
391615,Proteobacteria,Gammaproteobacteria,no rank,no rank,no rank,no rank,Bacteria
391616,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Octadecabacter,Octadecabacter arcticus,Bacteria
391624,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Oceanibulbus,Oceanibulbus indolifex,Bacteria
391626,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Octadecabacter,Octadecabacter antarcticus,Bacteria
393595,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Alcanivoracaceae,Alcanivorax,Alcanivorax borkumensis,Bacteria
